sample_size,sample_fraction,min_topic_size,n_topics,n_preferences_covered,n_preferences_total,coverage_rate,avg_similarity,high_confidence_rate,mapped_preference_ids,jaccard_vs_previous,run_type
151,0.2807,3,2,2,5,0.4,0.5034,1.0,"[""P01"", ""P05""]",1.0,bertopic_retrain_hybrid
247,0.4591,6,12,5,5,1.0,0.434,0.75,"[""P01"", ""P02"", ""P03"", ""P04"", ""P05""]",0.4,bertopic_retrain_hybrid
398,0.7398,6,9,5,5,1.0,0.4553,0.7778,"[""P01"", ""P02"", ""P03"", ""P04"", ""P05""]",1.0,bertopic_retrain_hybrid
538,1.0,6,10,5,5,1.0,0.4764,0.8,"[""P01"", ""P02"", ""P03"", ""P04"", ""P05""]",1.0,bertopic_retrain_hybrid
538,1.0,phase4_reference,10,5,5,1.0,0.6971,1.0,"[""P01"", ""P02"", ""P03"", ""P04"", ""P05""]",1.0,phase4_locked_reference
