preference_id,preference_label,category,subcategory,preference_type,topic_count,review_count,review_share
P01,Quality hotel accommodation and staff service,Accommodation,Hotel & Resort Services,mainstream,1,239,0.479
P03,Historical landmark and ancient city tours,Attractions & Activities,Heritage & Archaeological Tourism,mainstream,3,97,0.1944
P02,Coastal beach and coral island excursions,Attractions & Activities,Coastal & Beach Tourism,mainstream,1,76,0.1523
P05,Ecotourism and forest boat safaris,Attractions & Activities,Ecotourism & Wildlife,mainstream,3,44,0.0882
P04,Hill tracts and scenic lake exploration,Attractions & Activities,Nature & Adventure Tourism,mainstream,2,43,0.0862
